city;country;population
Bridgewater;United States;7841
Brookline;United States;58732
Hinsdale;United States;1905
Marshfield;United States;4335
Milton;United States;27003
Natick;United States;32276
Paxton;United States;4463
Randolph;United States;32112
Richmond;United States;1632
Shutesbury;United States;1842
Stow;United States;6005
Swansea;United States;16525
Enfield;United States;1680
North Bath;United States;9363
Ogunquit;United States;1275
Randolph;United States;1772
Raymond;United States;4649
Rome;United States;1019
Shapleigh;United States;2418
Trenton;United States;1424
Cedar Springs;United States;3624
Ecorse;United States;9257
Escanaba;United States;12334
Flint;United States;98310
Grosse Pointe Farms;United States;9232
Hazel Park;United States;16597
Kalamazoo;United States;76041
Lake Odessa;United States;2029
Ontonagon;United States;1324
Portage;United States;48177
South Rockwood;United States;1642
Arden Hills;United States;9951
Barnesville;United States;2577
Baudette;United States;1063
Belle Plaine;United States;6918
Birchwood;United States;1139
Brooklyn Center;United States;30770
Burnsville;United States;61481
Foley;United States;2656
Kasson;United States;6123
Long Lake;United States;1800
Madison;United States;1462
Nicollet;United States;1138
Saint Cloud;United States;65842
Virginia;United States;8587
Waterville;United States;1849
West Coon Rapids;United States;62528
West Saint Paul;United States;19540
Winona;United States;27094
Albion;United States;1589
Nebraska City;United States;7335
Norfolk;United States;24366
Syracuse;United States;1993
Bristol;United States;1688
Fremont;United States;3738
Hampstead;United States;8650
Lee;United States;4500
Atlantic Highlands;United States;4311
Avon-by-the-Sea;United States;1794
Belmar;United States;5712
Carlstadt;United States;6279
Elmwood Park;United States;20279
Essex Fells;United States;2159
Groveville;United States;2945
Hampton;United States;1361
Kenilworth;United States;8215
Middlebush;United States;2326
Middletown;United States;65490
Midland Park;United States;7329
Oakland;United States;13165
Ramsey;United States;15102
Red Bank;United States;12204
Ridgefield Park;United States;13102
Robertsville;United States;11297
South Orange;United States;17295
Totowa;United States;10973
Wallington;United States;11716
Weehawken;United States;14104
Wharton;United States;6613
Woodbridge;United States;19265
Bellerose;United States;1201
Chelsea;United States;2953
Chester;United States;3918
Dundee;United States;1665
East Greenbush;United States;4487
East Patchogue;United States;22469
East Village;United States;62832
Elmsford;United States;4810
Fishkill;United States;2133
Flower Hill;United States;4838
Fordham;United States;94678
Great Kills;United States;22000
Groton;United States;2396
Hagaman;United States;1299
Holbrook;United States;27195
Inwood;United States;9792
Johnson City;United States;14773
Kings Bridge;United States;75132
Kiryas Joel;United States;22851
Lake Grove;United States;11235
Lake Katrine;United States;2397
Laurel Hollow;United States;2036
Mamaroneck;United States;19375
Maybrook;United States;3286
Merrick;United States;22097
Mohawk;United States;2628
Morrisania;United States;23127
Morrisville;United States;1764
Newfane;United States;3822
Ozone Park;United States;53985
Plattekill;United States;1260
Pleasantville;United States;7173
Pulaski;United States;2310
Sloatsburg;United States;3135
Terrace Heights;United States;15421
Valhalla;United States;3162
Valley Stream;United States;37962
Waterloo;United States;5036
White Plains;United States;58459
Calcutta;United States;3742
Copley;United States;13641
Lexington;United States;4731
Maumee;United States;13940
Mogadore;United States;3909
Mount Carmel;United States;4195
North Olmsted;United States;32004
West Liberty;United States;1775
Westlake;United States;32428
Bethlehem;United States;74892
Boalsburg;United States;3722
Bristol;United States;9569
Charleroi;United States;4015
Dover;United States;1991
Emigsville;United States;2672
Franklin;United States;6302
Geistown;United States;2371
Georgetown;United States;1640
Gibsonia;United States;2733
Harleigh;United States;1104
Hastings;United States;1224
Hummelstown;United States;4561
Intercourse;United States;1274
Jermyn;United States;2096
Jerome;United States;1017
Kenmar;United States;4124
Lake Wynonah;United States;2640
Marysville;United States;2535
Mountainhome;United States;1182
Muse;United States;2504
Reamstown;United States;3361
Sellersville;United States;4212
Simpson;United States;1275
Spring House;United States;3804
Tremont;United States;1716
Weatherly;United States;2462
Narragansett Pier;United States;3409
Portsmouth;United States;17756
Elk Point;United States;1874
Sioux Falls;United States;171544
Lyndon;United States;5496
Morristown;United States;5653
Baldwin;United States;3972
Bangor;United States;1492
Caledonia;United States;24684
Camp Lake;United States;3665
Cleveland;United States;1468
Dickeyville;United States;1039
Fall Creek;United States;1315
Hortonville;United States;2712
Howards Grove;United States;3271
Hustisford;United States;1100
Kewaunee;United States;2876
Markesan;United States;1417
Neenah;United States;25792
New Glarus;United States;2172
Okauchee Lake;United States;4422
Pardeeville;United States;2086
Superior;United States;26579
Tichigan;United States;5133
Bridgeport;United States;147629
Colorado City;United States;4832
Meadview;United States;1224
Nogales;United States;20252
Paradise Valley;United States;13922
Prescott Valley;United States;42197
Scottsdale;United States;236839
Willcox;United States;3552
Banning;United States;30945
Bell;United States;36205
Bloomington;United States;23851
Claremont;United States;36283
Colfax;United States;1995
Corralitos;United States;2326
Corte Madera;United States;9901
Dogtown;United States;2506
East Sonora;United States;2266
Empire;United States;4189
Fallbrook;United States;30534
Garden Acres;United States;10648
Half Moon Bay;United States;12657
Heber;United States;4275
Hemet;United States;83861
La Habra Heights;United States;5454
Lemon Grove;United States;26709
Montecito;United States;8965
Morgan Hill;United States;42948
Mountain View;United States;80435
Pacifica;United States;39260
Pajaro;United States;3070
Pine Valley;United States;1510
Riverbank;United States;24122
Riverdale;United States;3153
Riverside;United States;322424
San Andreas;United States;2783
San Diego Country Estates;United States;10109
Studio City;United States;34034
Sun City;United States;19579
Terra Bella;United States;3310
Tulare;United States;62315
Watsonville;United States;53628
Wildomar;United States;35632
Cripple Creek;United States;1155
Orchard Mesa;United States;6836
Rifle;United States;9563
Salida;United States;5467
The Pinery;United States;10517
Vail;United States;5461
Sublette;United States;1384
Carnuel;United States;1232
Hobbs;United States;38416
McIntosh;United States;1484
Mesquite;United States;1112
Milan;United States;3250
Fernley;United States;19418
Eagle Pass;United States;28765
Farwell;United States;1311
Hamlin;United States;2042
Homestead Meadows South;United States;7247
Ephraim;United States;6857
Anton;United States;1128
Shasta;United States;1771
Idaho City;United States;474
Kimberly;United States;3610
Chester;United States;883
Circle;United States;613
Fort Benton;United States;1460
Frenchtown;United States;1825
Seeley Lake;United States;1659
Burlington;United States;1181
McCook;United States;7580
Ashland;United States;20861
Coburg;United States;1055
Cornelius;United States;12317
Cottage Grove;United States;9969
Culp Creek;United States;2000
Lents;United States;20156
North Plains;United States;2100
Talent;United States;6411
Terrebonne;United States;1257
White City;United States;7975
Belle Fourche;United States;5696
Kadoka;United States;707
Centerville;United States;16877
Draper;United States;46774
Provo;United States;115264
Riverdale;United States;8666
Snyderville;United States;5612
Clear Lake;United States;1002
Fox Island;United States;3633
Granite Falls;United States;3493
Millwood;United States;1783
Point Roberts;United States;1314
Pomeroy;United States;1389
Port Angeles;United States;19448
Ravensdale;United States;1101
Republic;United States;1072
Tanner;United States;1018
Waitsburg;United States;1191
West Longview;United States;2698
West Pasco;United States;3739
Guernsey;United States;1195
Mountain View;United States;1294
Kahuku;United States;2614
Kailua;United States;38635
Kaneohe;United States;34597
Mākaha;United States;8278
Mokulēia;United States;1811
Punaluu;United States;1164
Hau‘ula;United States;4148
Tok;United States;1258
South Blooming Grove;United States;3188
City of Sammamish;United States;45780
Hillsborough;United States;1976
Fort Drum;United States;12955
East Hampton North;United States;4142
Gates-North Gates;United States;15138
Fort Stewart;United States;4924
Samsula-Spruce Creek;United States;5047
Oak Grove;United States;10291
Florence-Graham;United States;63387
Heber-Overgaard;United States;2822
Tanglewilde-Thompson Place;United States;5892
Hickam Field;United States;6920
Knik-Fairview;United States;14923
Farmers Loop;United States;4853
Midway;United States;16115
Oakleaf Plantation;United States;20315
Topaz Ranch Estates;United States;1501
Matheny;United States;1212
Enchanted Hills;United States;87521
Northdale;United States;22079
Tiki Island;United States;1026
Big Bass Lake;United States;1270
Sugarcreek Police Dept;United States;2220
Villa Sara;Uruguay;1199
Trinidad;Uruguay;21429
Tranqueras;Uruguay;7235
Tala;Uruguay;4949
Tacuarembó;Uruguay;51854
Rocha;Uruguay;25515
Minas;Uruguay;38025
Mercedes;Uruguay;42359
Lascano;Uruguay;6976
Barros Blancos;Uruguay;31650
Xo‘jayli Shahri;Uzbekistan;50000
Kitob;Uzbekistan;40800
Qorovulbozor Shahri;Uzbekistan;0
Shofirkon Shahri;Uzbekistan;26527
Kuyganyor;Uzbekistan;0
Qibray;Uzbekistan;27750
Chust;Uzbekistan;64966
Beshrabot;Uzbekistan;0
Georgetown;Saint Vincent and the Grenadines;1680
El Chaparro;Venezuela, Bolivarian Rep. of;0
Santa Cruz de Guacas;Venezuela, Bolivarian Rep. of;0
Las Casitas del Vegon de Nutrias;Venezuela, Bolivarian Rep. of;0
Siquisique;Venezuela, Bolivarian Rep. of;0
San Timoteo;Venezuela, Bolivarian Rep. of;0
San Francisco;Venezuela, Bolivarian Rep. of;0
San Carlos del Zulia;Venezuela, Bolivarian Rep. of;89365
Punta de Mata;Venezuela, Bolivarian Rep. of;61080
Ocumare del Tuy;Venezuela, Bolivarian Rep. of;166072
Lagunillas;Venezuela, Bolivarian Rep. of;44257
El Socorro;Venezuela, Bolivarian Rep. of;0
El Paradero;Venezuela, Bolivarian Rep. of;0
Ciudad Piar;Venezuela, Bolivarian Rep. of;51967
Casigua El Cubo;Venezuela, Bolivarian Rep. of;24592
Boca de Río;Venezuela, Bolivarian Rep. of;0
Aricagua;Venezuela, Bolivarian Rep. of;0
Araure;Venezuela, Bolivarian Rep. of;181820
La Dolorita;Venezuela, Bolivarian Rep. of;56846
Thị Trấn Yên Minh;Viet Nam;0
Văn Quan;Viet Nam;0
Vân Canh;Viet Nam;0
Stebliv;Ukraine;3350
Stavchany;Ukraine;2168
Shebutyntsi;Ukraine;1463
Seredyna-Buda;Ukraine;7161
Sencha;Ukraine;2953
Rozvadiv;Ukraine;3098
Prudianka;Ukraine;1924
Prybuzhany;Ukraine;2013
Pnikut;Ukraine;1101
Pavlivka;Ukraine;1135
Ovidiopol;Ukraine;11572
Orlinoye;Ukraine;2106
Ordzhonikidze;Ukraine;2572
Obertyn;Ukraine;2957
Novy Svet;Ukraine;1248
Novhorodka;Ukraine;5675
Navariia;Ukraine;1493
Molochnoye;Ukraine;2174
Mykhaylo-Laryne;Ukraine;1918
Medvedevo;Ukraine;1707
Medvedevka;Ukraine;1270
Maryanivka;Ukraine;1301
Krinichnoye;Ukraine;898
Lypovets;Ukraine;8303
Lykhivka;Ukraine;1960
Lanivtsi;Ukraine;8434
Kvasy;Ukraine;1200
Kryva Balka;Ukraine;1574
Krasyliv;Ukraine;18868
Kondratyevo;Ukraine;803
Komariv;Ukraine;1804
Klenovyi;Ukraine;2259
Holubivka;Ukraine;26654
Khriatska;Ukraine;1992
Khmelnytskyi;Ukraine;274582
Yarivka;Ukraine;1223
Novofedorivka;Ukraine;1015
Komyshivka;Ukraine;3491
Kamyanka;Ukraine;1390
Hradenytsi;Ukraine;4668
Hayvoron;Ukraine;14523
