country;subcountry
Andorra;Escaldes-Engordany
Andorra;Andorra la Vella
United Arab Emirates;Umm al Qaywayn
United Arab Emirates;Raʼs al Khaymah
United Arab Emirates;Ash Shāriqah
United Arab Emirates;Dubai
United Arab Emirates;Al Fujayrah
United Arab Emirates;Al Fujayrah
United Arab Emirates;Ash Shāriqah
United Arab Emirates;Abu Dhabi
United Arab Emirates;Al Fujayrah
United Arab Emirates;Abu Dhabi
United Arab Emirates;Ajman
United Arab Emirates;Ash Shāriqah
United Arab Emirates;Abu Dhabi
Afghanistan;Nīmrūz
Afghanistan;Takhār
Afghanistan;Herat
Afghanistan;Jowzjān
Afghanistan;Ghowr
Afghanistan;Sar-e Pol
Afghanistan;Sar-e Pol
Afghanistan;Samangān
Afghanistan;Takhār
Afghanistan;Jowzjān
Afghanistan;Kunduz
Afghanistan;Wilāyat-e Baghlān
Afghanistan;Kabul
Afghanistan;Wilāyat-e Baghlān
Afghanistan;Faryab
Afghanistan;Laghmān
Afghanistan;Balkh
Afghanistan;Helmand
Afghanistan;Herat
Afghanistan;Kunduz
Afghanistan;Khowst
Afghanistan;Balkh
Afghanistan;Nīmrūz
Afghanistan;Kunduz
Afghanistan;Herat
Afghanistan;Kandahār
Afghanistan;Kabul
Afghanistan;Nangarhār
Afghanistan;Parvān
Afghanistan;Herat
Afghanistan;Badghis
Afghanistan;Ghaznī
Afghanistan;Helmand
Afghanistan;Paktia
Afghanistan;Badakhshan
Afghanistan;Farah
Afghanistan;Herat
Afghanistan;Parvān
Afghanistan;Lowgar
Afghanistan;Bāmīān
Afghanistan;Balkh
Afghanistan;Wilāyat-e Baghlān
Afghanistan;Takhār
Afghanistan;Konar
Afghanistan;Konar
Afghanistan;Faryab
Afghanistan;Panjshir
Afghanistan;Nangarhār
Antigua and Barbuda;Saint John
Anguilla;N/A
Albania;Vlorë
Albania;Kukës
Albania;Korçë
Albania;Gjirokastër
Albania;Elbasan
Albania;Dibër
Albania;Vlorë
Albania;Tiranë
Albania;Shkodër
Albania;Fier
Albania;Fier
Albania;Lezhë
Albania;Lezhë
Albania;Berat
Albania;Durrës
Albania;Tiranë
Albania;Fier
Albania;Fier
Albania;Durrës
Albania;Berat
Armenia;Syunik Province
Armenia;Syunik Province
Armenia;Syunik Province
Armenia;Ararat Province
Armenia;Ararat Province
