PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,No_Cabins,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_n,Master,Mid_rank,Miss,Mx,Nobility,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Ticket_Len,Ticket_Segm
1,0,1,22.0,1,0,7.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
2,1,0,38.0,1,0,71.2833,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8,2
3,1,0,26.0,0,0,7.925,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,16,2
4,1,0,35.0,1,0,53.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,1
5,0,1,35.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
6,0,1,33.5,0,0,8.4583,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6,1
7,0,1,54.0,0,0,51.8625,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1
8,0,1,2.0,3,1,21.075,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,6,1
9,1,0,27.0,0,2,11.1333,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
10,1,0,14.0,1,0,30.0708,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,6,1
11,1,0,4.0,1,1,16.7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,7,2
12,1,0,58.0,0,0,26.55,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,1
13,0,1,20.0,0,0,8.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,9,2
14,0,1,39.0,1,5,31.275,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
15,0,0,14.0,0,0,7.8542,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6,1
16,1,0,55.0,0,0,16.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
17,0,1,2.0,4,1,29.125,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,6,1
18,1,1,33.5,0,0,13.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
19,0,0,31.0,1,0,18.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,6,1
20,1,0,33.5,0,0,7.225,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,1
21,0,1,35.0,0,0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,1
22,1,1,34.0,0,0,13.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,1
